,ClientID,DistID,ClientAge,Gender,DisponentID,AccountID,DspType,CardID,CardType,CrdIssueDate,DistName,Region,Inhabitants,Municipalities<499,Muncipalities<500_1999,Municipalities<2000_9999,Municipalities<10000,NumCities,RatioUrban,AvgSalary,UnempRate95,UnempRate96,Entrep1000Inhab,Crimes95,Crimes96,AccDistID,StatementFreq,AccOpenedOn,DaysAccOpenedOn,OrderFrequency,FreqOrdLease,FreqOrdHousing,FreqOrdInsurance,MValLease,MValHousing,MValInsurance,LoanID,LoanDate,LoanAmount,LoanDuration,MonthlyLoanPymt,LoanStatus,DaysLoan,TransactionRecency,LOR,TransactionFrequency,MValTrnCred,MValTrnWDR,CustomerType
21,22,1,30.243835616438357,F,22,17,OWNER,,,,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,MONTHLY,1997-01-08,1468,1.0,0.0,1.0,0.0,,29422.0,,,,,,,,,1,722,54,7741.321212121213,7214.663157894737,
22,23,1,26.610958904109587,M,23,17,DISPONENT,,,,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,MONTHLY,1997-01-08,1468,1.0,0.0,1.0,0.0,,29422.0,,,,,,,,,1,722,54,7741.321212121213,7214.663157894737,
23,24,43,60.46849315068493,F,24,18,OWNER,,,,Hradec Kralove,east Bohemia,161854,73,21,6,1,6,76.3,9425,1.72,2.5,125,4085,3891,43,WEEKLY,1993-05-26,145,,,,,,,,,,,,,,,1,2045,328,12212.3608974359,10355.681818181818,
24,25,21,60.73424657534247,F,25,19,OWNER,,,,Tabor,south Bohemia,103347,87,16,7,1,7,67.0,9104,1.51,2.07,123,2299,2354,21,MONTHLY,1995-04-07,826,1.0,0.0,0.0,0.0,,,,4961.0,1996-04-29,30276.0,12.0,2523.0,B,1214.0,1,1364,303,5218.38552631579,5068.427702702703,Non-Favourable
25,26,74,30.720547945205478,F,26,20,OWNER,,,,Ostrava - mesto,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347,74,MONTHLY,1996-08-24,1331,1.0,0.0,1.0,0.0,,29425.0,,,,,,,,,1,859,116,1626.7981132075472,1087.7428571428575,
26,27,54,33.79178082191781,F,27,21,OWNER,,,,Brno - mesto,south Moravia,387570,0,0,0,1,1,100.0,9897,1.6,1.96,140,18721,18696,54,MONTHLY,1997-12-06,1800,1.0,0.0,1.0,0.0,,29426.0,,,,,,,,,1,390,62,5171.514705882354,4378.6,
27,28,1,54.293150684931504,M,28,22,OWNER,,,,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,MONTHLY,1994-03-23,446,1.0,0.0,1.0,0.0,,29427.0,,,,,,,,,1,1744,310,9047.485593220337,5374.287499999999,
28,29,30,48.33972602739726,F,29,23,OWNER,,,,Sokolov,west Bohemia,94812,15,13,8,2,10,81.8,9650,3.38,3.67,100,2985,2804,30,MONTHLY,1993-05-22,141,1.0,0.0,1.0,0.0,,29428.0,,,,,,,,,1,2049,370,11967.013138686132,6679.7390557939925,
29,30,74,42.25753424657534,F,30,24,OWNER,,,,Ostrava - mesto,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347,74,MONTHLY,1996-12-05,1434,2.0,0.0,1.0,0.0,,29429.0,,,,,,,,,1,756,140,6824.165384615385,3787.2045454545455,
30,31,68,37.917808219178085,M,31,25,OWNER,,,,Frydek - Mistek,north Moravia,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887,68,MONTHLY,1996-07-28,1304,4.0,0.0,1.0,1.0,,29432.0,29434.0,4962.0,1997-12-08,30276.0,12.0,2523.0,A,1802.0,1,886,274,18224.050000000003,7491.385869565217,Favourable
31,32,52,19.44109589041096,M,32,26,OWNER,,,,Usti nad Orlici,east Bohemia,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799,52,MONTHLY,1993-08-08,219,1.0,0.0,1.0,0.0,,29435.0,,,,,,,,,1,1971,351,13243.642105263158,7495.078431372549,
32,33,73,51.10958904109589,F,33,27,OWNER,,,,Opava,north Moravia,182027,17,49,12,2,7,56.4,8746,3.33,3.74,90,4355,4433,73,MONTHLY,1993-09-26,268,1.0,0.0,1.0,0.0,,29436.0,,,,,,,,,1,1922,352,4582.039259259259,2702.2064516129035,
33,36,7,21.473972602739725,F,36,29,OWNER,,,,Melnik,central Bohemia,94725,38,28,1,3,6,63.4,9920,2.26,2.87,130,4289,4846,7,MONTHLY,1994-11-24,692,3.0,0.0,1.0,1.0,,29439.0,29441.0,,,,,,,,1,1498,367,9617.433,3461.391011235955,
34,37,7,29.413698630136988,M,37,29,DISPONENT,,,,Melnik,central Bohemia,94725,38,28,1,3,6,63.4,9920,2.26,2.87,130,4289,4846,7,MONTHLY,1994-11-24,692,3.0,0.0,1.0,1.0,,29439.0,29441.0,,,,,,,,1,1498,367,9617.433,3461.391011235955,
35,38,36,26.46027397260274,F,38,30,OWNER,,,,Liberec,north Bohemia,159617,29,19,8,1,9,85.2,9198,3.33,4.28,131,5796,6132,36,MONTHLY,1995-03-04,792,1.0,1.0,0.0,0.0,29442.0,,,,,,,,,,2,1397,281,17715.226153846157,15244.487022900763,
36,39,68,31.956164383561642,M,39,31,OWNER,,,,Frydek - Mistek,north Moravia,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887,68,MONTHLY,1994-04-27,481,1.0,0.0,1.0,0.0,,29443.0,,,,,,,,,32,1678,383,17746.87865853658,13166.986387434557,
37,40,5,42.96986301369863,F,40,32,OWNER,,,,Kolin,central Bohemia,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040,5,MONTHLY,1995-08-28,969,,,,,,,,,,,,,,,1,1221,180,8955.25243902439,6577.663265306122,
38,41,22,31.367123287671234,M,41,33,OWNER,3.0,gold,1995-09-03,Domazlice,west Bohemia,58400,65,16,4,1,6,52.4,8620,1.1,1.25,100,1089,1117,22,MONTHLY,1993-08-26,237,1.0,0.0,1.0,0.0,,29444.0,,,,,,,,,1,1953,344,12764.85038167939,7322.954929577464,
39,42,68,64.41917808219178,M,42,34,OWNER,4.0,classic,1998-11-26,Frydek - Mistek,north Moravia,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887,67,WEEKLY,1993-09-17,259,3.0,1.0,1.0,0.0,29445.0,29446.0,,,,,,,,,1,1931,409,17294.271653543303,7119.192452830189,
40,43,75,79.23013698630137,M,43,35,OWNER,,,,Prerov,north Moravia,138032,67,30,4,2,5,64.6,8819,5.38,5.66,99,4063,4505,75,MONTHLY,1993-07-07,187,2.0,0.0,2.0,0.0,,29448.5,,,,,,,,,1,2003,379,2829.5440944881893,1343.6904761904761,
41,44,38,22.986301369863014,F,44,36,OWNER,,,,Louny,north Bohemia,85852,41,23,4,2,4,59.8,8965,7.08,8.23,104,2653,2822,1,MONTHLY,1993-07-01,181,1.0,0.0,1.0,0.0,,29450.0,,,,,,,,,1,2009,388,10716.982089552239,5342.238582677166,
42,45,20,47.38082191780822,M,45,37,OWNER,,,,Strakonice,south Bohemia,70646,94,14,3,1,4,58.4,8547,2.65,3.64,120,1563,1542,20,MONTHLY,1997-08-18,1690,4.0,0.0,1.0,1.0,,29452.0,29454.0,4967.0,1998-10-14,318480.0,60.0,5308.0,D,2112.0,1,500,130,13806.366666666667,4450.757608695652,Non-Favourable
43,46,19,59.961643835616435,F,46,38,OWNER,,,,Prachatice,south Bohemia,51428,50,11,3,1,4,52.7,8402,3.13,3.98,120,999,1099,19,WEEKLY,1997-08-08,1680,4.0,0.0,1.0,1.0,,29456.0,29458.0,4968.0,1998-04-19,110736.0,48.0,2307.0,C,1934.0,1,510,130,6422.193749999999,2933.316883116883,Favourable
44,47,76,65.5123287671233,M,47,39,OWNER,,,,Sumperk,north Moravia,127369,31,32,13,2,7,51.2,8369,4.73,5.88,107,3736,2807,36,MONTHLY,1993-09-22,264,2.0,0.0,2.0,0.0,,29459.5,,,,,,,,,1,1926,399,3346.191129032258,1449.4974545454547,
45,48,16,59.93424657534246,M,48,40,OWNER,,,,Jindrichuv Hradec,south Bohemia,93931,74,21,10,1,8,56.9,8427,1.12,1.54,107,1874,1913,64,MONTHLY,1993-10-25,297,2.0,0.0,1.0,0.0,,29461.0,,,,,,,,,1,1893,366,3495.554135338346,1893.5802575107293,
46,49,72,40.67123287671233,F,49,41,OWNER,,,,Olomouc,north Moravia,226122,32,50,7,4,4,62.6,8994,3.8,4.79,110,9672,9208,72,MONTHLY,1997-08-02,1674,,,,,,,,,,,,,,,1,516,71,9109.525000000001,6490.719999999999,
47,50,39,21.438356164383563,F,50,42,OWNER,,,,Most,north Bohemia,119895,17,4,3,2,4,89.9,10446,7.34,9.4,90,4947,4743,39,MONTHLY,1996-08-16,1323,3.0,0.0,1.0,1.0,,29463.0,29465.0,,,,,,,,1,867,198,4928.400000000001,2107.4429629629635,
48,51,36,20.095890410958905,F,51,43,OWNER,5.0,junior,1995-04-24,Liberec,north Bohemia,159617,29,19,8,1,9,85.2,9198,3.33,4.28,131,5796,6132,36,MONTHLY,1994-06-12,527,1.0,0.0,1.0,0.0,,29466.0,,,,,,,,,1,1663,321,12957.38125,6652.918660287081,
49,52,32,75.1041095890411,M,52,44,OWNER,,,,Ceska Lipa,north Bohemia,105058,32,19,7,2,10,81.0,9272,2.8,3.22,118,4340,4505,32,MONTHLY,1993-05-10,129,1.0,0.0,1.0,0.0,,29467.0,,,,,,,,,1,2061,316,2188.01679389313,1420.4713513513514,
50,53,64,22.673972602739727,M,53,45,OWNER,,,,Zlin,south Moravia,197099,29,41,10,2,10,74.7,9624,1.6,2.31,145,4484,4265,64,MONTHLY,1997-09-02,1705,,,,,,,,,,,,,,,1,485,69,1942.4219512195123,1920.0214285714285,
51,55,45,51.320547945205476,F,55,47,OWNER,,,,Jicin,east Bohemia,77917,85,19,6,1,5,53.5,8390,2.28,2.89,132,2080,2122,45,MONTHLY,1993-08-08,219,4.0,0.0,1.0,1.0,,29470.0,29472.0,,,,,,,,1,1971,565,18844.544360902255,5345.280487804878,
52,56,21,39.78082191780822,M,56,48,OWNER,7.0,classic,1998-06-11,Tabor,south Bohemia,103347,87,16,7,1,7,67.0,9104,1.51,2.07,123,2299,2354,21,MONTHLY,1996-11-17,1416,2.0,0.0,1.0,0.0,,29474.0,,,,,,,,,1,774,151,12193.609615384614,5688.404040404041,
53,57,21,38.06575342465754,F,57,48,DISPONENT,,,,Tabor,south Bohemia,103347,87,16,7,1,7,67.0,9104,1.51,2.07,123,2299,2354,21,MONTHLY,1996-11-17,1416,2.0,0.0,1.0,0.0,,29474.0,,,,,,,,,1,774,151,12193.609615384614,5688.404040404041,
54,58,1,72.72602739726027,F,58,49,OWNER,,,,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,MONTHLY,1997-04-06,1556,1.0,0.0,1.0,0.0,,29476.0,,,,,,,,,1,634,93,2307.818604651163,1678.5120000000002,
55,59,1,42.895890410958906,M,59,50,OWNER,,,,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,MONTHLY,1994-05-06,490,2.0,0.0,1.0,0.0,,29477.0,,,,,,,,,1,1700,377,8559.970940170939,3520.721538461538,
56,60,67,19.87945205479452,M,60,51,OWNER,8.0,junior,1998-05-20,Bruntal,north Moravia,106054,38,25,6,2,6,63.1,8110,5.77,6.55,109,3244,3079,67,MONTHLY,1996-05-11,1226,2.0,0.0,1.0,0.0,,29479.0,,,,,,,,,1,964,192,11274.322222222221,4744.6480620155035,
57,61,16,51.43835616438356,F,61,52,OWNER,,,,Jindrichuv Hradec,south Bohemia,93931,74,21,10,1,8,56.9,8427,1.12,1.54,107,1874,1913,16,MONTHLY,1997-01-29,1489,2.0,0.0,1.0,0.0,,29481.0,,,,,,,,,1,701,144,13394.408333333333,5831.13409090909,
58,62,77,67.10958904109589,M,62,53,OWNER,,,,Vsetin,north Moravia,148545,8,35,12,3,4,53.5,8909,4.01,5.56,113,3460,3590,77,MONTHLY,1995-06-07,887,1.0,0.0,1.0,0.0,,29483.0,,,,,,,,,1,1303,197,2156.597701149425,1568.1254545454547,
59,63,4,40.605479452054794,M,63,54,OWNER,,,,Kladno,central Bohemia,149893,63,29,6,2,6,67.4,9753,4.64,5.05,109,5244,5892,4,MONTHLY,1995-05-02,851,1.0,0.0,1.0,0.0,,29484.0,,,,,,,,,1,1339,210,1739.2719101123596,1057.6809917355372,
60,64,20,73.74520547945205,M,64,55,OWNER,,,,Strakonice,south Bohemia,70646,94,14,3,1,4,58.4,8547,2.65,3.64,120,1563,1542,20,MONTHLY,1996-02-19,1144,1.0,0.0,1.0,0.0,,29485.0,,,,,,,,,1,1046,150,2459.4723076923074,1633.8517647058823,
61,65,50,56.63835616438356,F,65,56,OWNER,,,,Svitavy,east Bohemia,102609,75,33,2,3,6,52.0,8187,4.83,5.45,94,2123,2134,50,MONTHLY,1994-05-16,500,1.0,0.0,1.0,0.0,,29486.0,,,,,,,,,1,1690,293,7709.6474576271185,4869.5428571428565,
62,66,1,48.175342465753424,F,66,57,OWNER,,,,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,MONTHLY,1995-05-21,870,1.0,0.0,1.0,0.0,,29487.0,,,,,,,,,1,1320,255,11602.674712643679,5633.4988095238095,
63,67,29,67.18356164383562,F,67,58,OWNER,,,,Rokycany,west Bohemia,45714,52,10,5,1,6,55.6,8843,2.82,3.6,113,818,888,29,MONTHLY,1996-08-23,1330,,,,,,,,,,,,,,,1,860,137,3043.8629629629627,1844.733734939759,
64,68,43,53.084931506849315,M,68,59,OWNER,,,,Hradec Kralove,east Bohemia,161854,73,21,6,1,6,76.3,9425,1.72,2.5,125,4085,3891,43,MONTHLY,1994-03-27,450,2.0,0.0,1.0,0.0,,29489.0,,,,,,,,,1,1740,385,7651.187804878048,3287.34427480916,
65,70,70,74.07671232876713,M,70,61,OWNER,,,,Karvina,north Moravia,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108,70,MONTHLY,1993-12-11,344,2.0,0.0,2.0,0.0,,29493.5,,,,,,,,,1,1846,339,2106.8068376068377,1027.355855855856,
66,71,70,72.95068493150686,F,71,61,DISPONENT,,,,Karvina,north Moravia,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108,70,MONTHLY,1993-12-11,344,2.0,0.0,2.0,0.0,,29493.5,,,,,,,,,1,1846,339,2106.8068376068377,1027.355855855856,
67,72,47,77.01917808219179,M,72,62,OWNER,,,,Pardubice,east Bohemia,162580,83,26,5,1,6,72.8,9538,1.51,1.81,111,6079,5410,47,MONTHLY,1993-03-28,86,1.0,0.0,1.0,0.0,,29495.0,,,,,,,,,1,2104,356,2650.045185185185,1543.3004524886878,
68,73,22,75.91506849315068,M,73,63,OWNER,,,,Domazlice,west Bohemia,58400,65,16,4,1,6,52.4,8620,1.1,1.25,100,1089,1117,22,MONTHLY,1996-11-16,1415,2.0,0.0,2.0,0.0,,29496.5,,,,,,,,,1,775,129,2734.765957446809,1173.158536585366,
69,74,22,74.48493150684932,F,74,63,DISPONENT,,,,Domazlice,west Bohemia,58400,65,16,4,1,6,52.4,8620,1.1,1.25,100,1089,1117,22,MONTHLY,1996-11-16,1415,2.0,0.0,2.0,0.0,,29496.5,,,,,,,,,1,775,129,2734.765957446809,1173.158536585366,
70,75,64,22.2986301369863,F,75,64,OWNER,,,,Zlin,south Moravia,197099,29,41,10,2,10,74.7,9624,1.6,2.31,145,4484,4265,64,MONTHLY,1997-03-11,1530,,,,,,,,,,,,,,,31,630,44,3994.3266666666673,7007.142857142857,
71,76,36,32.273972602739725,F,76,65,OWNER,9.0,classic,1997-10-25,Liberec,north Bohemia,159617,29,19,8,1,9,85.2,9198,3.33,4.28,131,5796,6132,36,MONTHLY,1996-10-29,1397,3.0,0.0,1.0,1.0,,29498.0,29500.0,,,,,,,,1,793,181,13335.783018867925,5083.2078125,
72,77,1,43.8986301369863,F,77,66,OWNER,10.0,classic,1996-12-07,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,48,TRANSACTION,1993-12-03,336,1.0,1.0,0.0,0.0,29501.0,,,,,,,,,,1,1854,316,24307.19593495935,15062.569832402234,
73,78,16,55.58904109589041,F,78,67,OWNER,,,,Jindrichuv Hradec,south Bohemia,93931,74,21,10,1,8,56.9,8427,1.12,1.54,107,1874,1913,16,MONTHLY,1994-10-19,656,3.0,0.0,1.0,0.0,,29503.0,,4973.0,1996-05-02,165960.0,24.0,6915.0,A,1217.0,1,1534,382,22342.519607843136,7663.326923076923,Favourable
74,79,37,30.832876712328765,F,79,68,OWNER,11.0,gold,1997-10-25,Litomerice,north Bohemia,114006,71,26,6,2,9,62.3,9065,4.46,5.39,123,4147,4166,37,TRANSACTION,1994-12-20,718,4.0,0.0,1.0,1.0,,29505.0,29507.0,,,,,,,,1,1472,424,19095.13775510204,5121.697452229299,
75,80,64,20.863013698630137,F,80,69,OWNER,,,,Zlin,south Moravia,197099,29,41,10,2,10,74.7,9624,1.6,2.31,145,4484,4265,64,MONTHLY,1996-01-12,1106,,,,,,,,,,,,,,,1,1084,196,2295.147967479674,2997.695890410959,
76,81,8,23.69041095890411,M,81,70,OWNER,,,,Mlada Boleslav,central Bohemia,112065,95,19,7,1,8,69.4,11277,1.25,1.44,127,5179,4987,8,MONTHLY,1995-02-18,778,1.0,0.0,1.0,0.0,,29509.0,,,,,,,,,1,1412,245,4740.810891089109,3030.545833333333,
77,82,8,20.03287671232877,F,82,70,DISPONENT,,,,Mlada Boleslav,central Bohemia,112065,95,19,7,1,8,69.4,11277,1.25,1.44,127,5179,4987,8,MONTHLY,1995-02-18,778,1.0,0.0,1.0,0.0,,29509.0,,,,,,,,,1,1412,245,4740.810891089109,3030.545833333333,
78,83,1,21.03287671232877,F,83,71,OWNER,12.0,junior,1996-09-11,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,MONTHLY,1994-03-05,428,4.0,0.0,1.0,1.0,,29510.0,29512.0,,,,,,,,1,1762,496,11717.649999999998,3473.840740740741,
79,84,1,20.673972602739727,M,84,71,DISPONENT,,,,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,MONTHLY,1994-03-05,428,4.0,0.0,1.0,1.0,,29510.0,29512.0,,,,,,,,1,1762,496,11717.649999999998,3473.840740740741,
80,85,1,38.37260273972603,M,85,72,OWNER,,,,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,WEEKLY,1996-06-20,1266,3.0,1.0,1.0,0.0,29514.0,29515.0,,,,,,,,,1,924,242,17987.396739130436,10816.021897810218,
81,86,1,30.471232876712328,F,86,72,DISPONENT,,,,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,WEEKLY,1996-06-20,1266,3.0,1.0,1.0,0.0,29514.0,29515.0,,,,,,,,,1,924,242,17987.396739130436,10816.021897810218,
82,87,72,53.15890410958904,F,87,73,OWNER,13.0,classic,1994-06-29,Olomouc,north Moravia,226122,32,50,7,4,4,62.6,8994,3.8,4.79,110,9672,9208,72,MONTHLY,1993-11-08,311,1.0,0.0,1.0,0.0,,29517.0,,,,,,,,,1,1879,366,10259.76484375,5257.689915966387,
83,89,1,48.69315068493151,F,89,75,OWNER,,,,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1,MONTHLY,1995-08-13,954,1.0,0.0,1.0,0.0,,29522.0,,,,,,,,,1,1236,215,6775.493902439024,3987.1804511278197,
84,90,52,24.39178082191781,M,90,76,OWNER,,,,Usti nad Orlici,east Bohemia,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799,52,MONTHLY,1996-05-16,1231,1.0,0.0,1.0,0.0,,29523.0,,,,,,,,,1,959,163,4108.628767123288,3114.3955555555553,
85,91,63,59.441095890410956,M,91,77,OWNER,,,,Vyskov,south Moravia,86513,38,36,5,1,5,50.5,8288,3.79,4.52,110,1562,1460,63,MONTHLY,1996-11-19,1418,1.0,1.0,0.0,0.0,29524.0,,,,,,,,,,1,772,104,9108.513461538461,8518.583333333334,
